id,forward_sortation_area,name_of_dog,breed,color,ward_number,ward_name,bite_circumstance,location_of_incident,date_of_dangerous_act,year_month
329,M9N,LUCKY,AMER BULLDOG,GREY / WHITE,5,York South-Weston,VERY SEVERE,OTHER PRIVATE PROPERTY,2024-05-07,2024-05-01
330,M1B,WICK,AMER BULLDOG / ENG BULLDOG,BLUE,23,Scarborough North,NON SEVERE,PARK - LEASH REQUIRED AREA,2024-05-16,2024-05-01
331,M1C,DIAMOND,MASTIFF MIX,BLACK / WHITE,25,Scarborough-Rouge Park,SEVERE,PUBLIC PROPERTY,2024-05-21,2024-05-01
332,M1C,MALOTTO,AMER BULLDOG,WHITE / BROWN,25,Scarborough-Rouge Park,SEVERE,PUBLIC PROPERTY,2024-05-21,2024-05-01
333,M6S,ELSA,ROTTWEILER MIX,BLACK / TAN,4,Parkdale-High Park,SEVERE,OTHER PRIVATE PROPERTY,2024-05-23,2024-05-01
334,M6B,ACE,AM PIT BULL TER / ENG BULLDOG,BLACK / WHITE,8,Eglinton-Lawrence,SEVERE,PUBLIC PROPERTY,2024-05-27,2024-05-01
335,M6K,ONYX,AMER BULLDOG,BLACK / WHITE,10,Spadina-Fort York,NON SEVERE,PARK - LEASH FREE AREA,2024-06-01,2024-06-01
336,M1E,REGGIE,GERM SHEPHERD MIX,BLACK / BROWN,25,Scarborough-Rouge Park,SEVERE,PUBLIC PROPERTY,2024-06-01,2024-06-01
337,M6G,HENNY,AMER BULLDOG,FAWN,11,University-Rosedale,SEVERE,PUBLIC PROPERTY,2024-06-02,2024-06-01
338,M4N,PENNY,BERNESE MTN DOG / POODLE STND,BLACK / WHITE,15,Don Valley West,NON SEVERE,PUBLIC PROPERTY,2024-06-06,2024-06-01
339,M1N,ZEUS,AMER BULLDOG,WHITE / TAN,20,Scarborough Southwest,NON SEVERE,PARK - LEASH REQUIRED AREA,2024-06-12,2024-06-01
340,M1T,NIPSEY,AMER BULLDOG / LABRADOR RETR,BROWN,22,Scarborough-Agincourt,NON SEVERE,OTHER PRIVATE PROPERTY,2024-06-19,2024-06-01
341,M6J,ZELOS,AMER BULLDOG,BLACK / WHITE,9,Davenport,SEVERE,OTHER PRIVATE PROPERTY,2024-06-24,2024-06-01
343,M9W,ARROW,RHOD RIDGEBACK / AMER BULLDOG,BROWN / WHITE,1,Etobicoke North,SEVERE,PUBLIC PROPERTY,2024-07-01,2024-07-01
344,M5M,RYDER,SIBERIAN HUSKY MIX,WHITE,8,Eglinton-Lawrence,SEVERE,OWNERS PROPERTY,2024-07-05,2024-07-01
345,M9R,IRIS,GERM SHEPHERD,BLACK / TAN,2,Etobicoke Centre,NON SEVERE,PUBLIC PROPERTY,2024-07-06,2024-07-01
346,M1E,SCOTIA,AMER BULLDOG / ENG BULLDOG,GREY,25,Scarborough-Rouge Park,NON SEVERE,OTHER PRIVATE PROPERTY,2024-07-07,2024-07-01
347,M1M,FLY,GERM SHEPHERD,BROWN / BLACK,20,Scarborough Southwest,NON SEVERE,OTHER PRIVATE PROPERTY,2024-07-15,2024-07-01
348,M8X,EGON,BULL TERRIER,WHITE,3,Etobicoke-Lakeshore,NON SEVERE,PUBLIC PROPERTY,2024-07-22,2024-07-01
349,M1V,SKY,MALTESE,WHITE,22,Scarborough-Agincourt,NON SEVERE,PUBLIC PROPERTY,2024-07-25,2024-07-01
350,M1N,ZACH,BULLMASTIFF / AMER BULLDOG,TAN,20,Scarborough Southwest,SEVERE,PUBLIC PROPERTY,2024-08-06,2024-08-01
351,M1E,DEXTER,GREAT DANE / PRESA CANARIO,BR BRINDLE / WHITE,25,Scarborough-Rouge Park,SEVERE,PUBLIC PROPERTY,2024-08-11,2024-08-01
352,M2J,KALI,IRISH WOLFHOUND,BLACK / GREY,17,Don Valley North,SEVERE,PUBLIC PROPERTY,2024-08-12,2024-08-01
353,M1R,TONKA,AMER BULLDOG / AMERICAN STAFF,BROWN / BLACK,21,Scarborough Centre,NON SEVERE,PUBLIC PROPERTY,2024-08-13,2024-08-01
354,M2H,TORRO,GERM SHEPHERD,BLACK,17,Don Valley North,NON SEVERE,PUBLIC PROPERTY,2024-09-14,2024-09-01
355,M2H,TATIANA,GERM SHEPHERD,BLACK,17,Don Valley North,NON SEVERE,PUBLIC PROPERTY,2024-09-14,2024-09-01
356,M2H,LUNA,GERM SHEPHERD,BLACK,17,Don Valley North,NON SEVERE,PUBLIC PROPERTY,2024-09-14,2024-09-01
357,M1W,LUNA,AM PIT BULL TER / ENG BULLDOG,BLACK / TRICOLOUR,22,Scarborough-Agincourt,NOT A BITE,OTHER PRIVATE PROPERTY,2024-02-05,2024-02-01
